anho	territorios	activos	exito	juveniles	liberaciones
1979	1	0	0	0	si
1980	5	3	2	4	si
1981	6	3	2	5	si
1982	8	5	4	9	si
1983	10	8	6	15	si
1984	17	15	9	22	si
1985	27	21	10	30	si
1986	25	22	15	33	no
1987	29	25	18	39	no
1988	29	23	16	50	no
1989	31	22	16	36	no
1990	28	23	19	46	no
1991	33	26	19	48	no
1992	36	31	20	44	no
1993	36	32	18	49	no
1994	38	34	22	52	no
1995	40	35	25	71	no
1996	43	38	24	59	no
1997	39	34	24	54	no
1998	46	39	26	64	no
1999	43	36	30	83	no
2000	43	41	30	76	no
2001	44	37	30	81	no
2002	47	41	35	83	no
2003	48	46	32	95	no
2004	50	42	33	89	no
2005	52	43	36	96	no
2006	56	47	40	106	no
2007	55	48	38	113	no
